Case Material_index,Case Material_id,Strap Material_index,Strap Material_id,Movement Type_index,Movement Type_id,Crystal Material_index,Crystal Material_id,Complications_index,Complications_id
Stainless Steel,1.0,Stainless Steel,1.0,Automatic,1.0,Sapphire,1.0,Date,1.0
Titanium,2.0,Rubber,2.0,Quartz,2.0,Mineral,2.0,Chronograph,2.0
18k White Gold,3.0,Leather,3.0,Manual,3.0,Hesalite,3.0,,3.0
Ceramic,4.0,Textile,4.0,Eco-Drive,4.0,Hardlex,4.0,"Date, GMT",4.0
18K Rose Gold,5.0,Jubilee,5.0,,,,,"Chronograph, Tachymeter",5.0
Rose Gold,6.0,Alligator,6.0,,,,,GMT,6.0
White Gold,7.0,Canvas,7.0,,,,,"World Time, GMT",7.0
High-Tech Ceramic,8.0,Fabric,8.0,,,,,"Date, Moon Phase",8.0
German Submarine Steel,9.0,Silicone,9.0,,,,,"Chronograph, Date",9.0
Bronze,10.0,Titanium,10.0,,,,,"Date, Second Time Zone",10.0
Carbon Fiber,11.0,Rose Gold,11.0,,,,,"Date, Unidirectional Bezel",11.0
Yellow Gold,12.0,NATO Strap,12.0,,,,,"Date, Power Reserve Indicator",12.0
18k King Gold,13.0,Jubilee Bracelet,13.0,,,,,"Date, Chronograph",13.0
18K Yellow Gold,14.0,NATO strap,14.0,,,,,"Date, Chronograph, Flyback",14.0
,,,,,,,,,15.0
,,,,,,,,,16.0
,,,,,,,,,17.0
,,,,,,,,,18.0
,,,,,,,,,19.0
,,,,,,,,,20.0
,,,,,,,,,21.0
,,,,,,,,,22.0
,,,,,,,,,23.0
,,,,,,,,,24.0
,,,,,,,,,25.0
,,,,,,,,,26.0
,,,,,,,,,27.0
,,,,,,,,,28.0
,,,,,,,,,29.0
,,,,,,,,,30.0
